Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
06/10/2020,"25-32 and 98 TANNER HALL, ATHY ROAD, CARLOW",,Carlow,"€1,830,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2013,"I Cabbage Lane, Bohermore",,Galway,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2014,"CLONEEN, CRETTYARD, VIA CARLOW",,Kilkenny,"€63,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2017,"22 COILLIN BUI, MOATE, WESTMEATH",,Westmeath,"€95,250.00",Yes,No,Second-Hand Dwelling house /Apartment,
07/06/2018,"No. 1 Larch Close, Bloomfield, Annacotty",,Limerick,"€233,480.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/10/2015,"2 THE CLOSE, DUN EALA, FERMOY",,Cork,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2013,"47  Saint Lappans Place, Little Island",,Cork,"€30,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
25/06/2020,"APT 3 CLONARD COURT, PODDEL PARK, KIMMAGE DUBLIN 12",Dublin 12,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/05/2021,"30 MOUNT PROSPECT DRIVE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€765,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/05/2016,"10 THE MOORINGS, KELLYS BAY, SKERRIES",Dublin 20,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2018,"23 STEPHEN ST, KILKENNY",,Kilkenny,"€182,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2018,"5 The Green, Castle Farm, Naas",,Kildare,"€290,748.90",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/08/2015,"PORRES, LINARO AVE, MAGAZINE RD",,Cork,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/06/2010,"Gortacrissane, Listowel",,Kerry,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/05/2014,"BAILE AN GHOILIN, AN DAINGEAN, KERRY",,Kerry,"€64,545.00",Yes,No,Second-Hand Dwelling house /Apartment,
29/04/2010,"16 Marlfield Grove, Tallaght",,Dublin,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2019,"POLERAGH, KILNALECK, CO CAVAN",,Cavan,"€86,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2018,"60 PRIORY GATE, ATHBOY, MEATH",,Meath,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2013,"20 Stameen Lawns, Drogheda, County Louth",,Louth,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2012,"No. 13 Cois Riasc, Bantry",,Cork,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/05/2020,"78 O'RAHILLY'S VILLAS, TRALEE, CO KERRY",,Kerry,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2019,"71 GLENTOW RD, WHITEHALL, DUBLIN 9",Dublin 9,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/10/2019,"10 BRIOT DR, TEMPLARS HALL, WATERFORD",,Waterford,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2021,"6 7 8 9 10 11 12 13 14 15 16, Castle Quay  Kilgobbin, BALLINADEE",,Cork,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2015,"SLIEVE, DUNMORE, CO. GALWAY",,Galway,"€27,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/07/2019,"86 Millquarter, Knockmullen, Gorey",,Wexford,"€290,000.00",No,Yes,New Dwelling house /Apartment,
14/12/2021,"CARROWREAGH, ELPHIN, CASTLEREA",,Roscommon,"€245,000.00",No,Yes,New Dwelling house /Apartment,
21/12/2016,"5 ARRAN QUAY, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2013,"26 ARD NA GREINE, BANTRY",,Cork,"€220,264.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/12/2010,"Apartment 410, Glenlara House, Mount Kennett Place Dock Road",,Limerick,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2011,"26 St Benildus Villas, Navan",,Meath,"€30,165.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/04/2014,"4 Alderwood, Hollystown, Dublin 15",Dublin 15,Dublin,"€299,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/09/2017,"117 BOROIMHE BEECH, SWORDS, DUBLIN",,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/11/2010,"80 Springfort, Montenotte, Cork",,Cork,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2017,"CLOONSCOTT, MOYDOW, CO LONGFORD",,Longford,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2021,"KILCARRIG, BAGENALSTOWN, CARLOW",,Carlow,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2018,"27 ST ANNES PARK, TURNERS CROSS, CORK",,Cork,"€243,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2017,"KNOCKROE, GEEVAGH, CO SLIGO",,Sligo,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2015,"APT 311 PIER HEAD, ALLINS QUAY, YOUGHAL",,Cork,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"12 WHITECLIFF, WHITECHURCH RD, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,"€565,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2015,"89 BARTON DR, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"€431,250.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2014,"100 Tarmon Manor, Castlerea, Co. Roscommon",,Roscommon,"€41,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
18/12/2018,"46 COLLEGE VALE, MULLINGAR, CO WESTMEATH",,Westmeath,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
