DateofSale(dd/mm/yyyy),Address,PostalCode,County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription
2022-01-15,"24 FOREST WALK, SWORDS, DUBLIN",,Dublin,154000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-15,"5 CRAGAUN, FATHER RUSSELL ROAD, DOORADOYLE",,Limerick,370000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-16,"19  The Lawn, Mullen Park, Maynooth",,Kildare,409691.63,No,Yes,New Dwelling house /Apartment,
2022-01-16,"MONTEVIDEO, HOSPITAL HILL, BUNCLODY",,Wexford,100000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"1 CILL BEG MANOR, STRADBALLY, LAOIS",,Laois,225000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"1 KINGSLEA, GRANGE RD, DOUGLAS",,Cork,475000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"1 LOCK MILLS, GROVE ISLAND, LIMERICK",,Limerick,130000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"1 STOCKTON DR, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,305000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"1 TEFFIA PARK, LONGFORD, CO LONGFORD",,Longford,216000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"10 Effernock Grove, Trim",,Meath,325992.0,No,Yes,New Dwelling house /Apartment,
2022-01-17,"100 CLONLIFFE ROAD, DRUMCONDRA, DUBLIN 3",Dublin 3,Dublin,395000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"107 ST PETERS PLACE, ARKLOW, CO WICKLOW",,Wicklow,170000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"10A GLAS NA HABHAINN, CARRICK ON SHANNON, COUNTY LEITRIM",,Leitrim,350000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"11 BEECHWOOD CLOSE, LOUGHREA, GALWAY",,Galway,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"11 BLESSINGTON ORCHARD, BLESSINGTON, WICKLOW",,Wicklow,275000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"11 DUBLIN ST, BLACKPOOL, CORK",,Cork,250000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"11 LIAM HEALY RD, FARRANREE, CORK",,Cork,185000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"11 ROSSMORE CLOSE, TEMPLEOGUE, DUBLIN 6W",,Dublin,564797.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"11 THE FORGE, LOWER MAIN ST, RUSH",,Dublin,245000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"110 CLONMINCH WOOD TUALLAMORE, OFFALY",,Offaly,302000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"113 THE ELMS, CHARLEVILLE, RATHFARNHAM",Dublin 14,Dublin,376000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"117 ROBERTSHILL CIRCULAR RD, KILKENNY",,Kilkenny,210000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"118 BALLYMACOOL WOOD, LETTERKENNY, DONEGAL",,Donegal,150000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"124 GIMONT AVE, ENNISCORTHY, CO WEXFORD",,Wexford,150000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"127 MORRISTOWN EST, NEWBRIDGE, KILDARE",,Kildare,200000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"13 BAYVIEW, IRISH TOWN, DUBLIN 4",,Dublin,640000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"13 COOLCOTTS COURT, WEXFORD",,Wexford,286000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"13 MEADOWLANDS, ENNISCORTHY, WEXFORD",,Wexford,161250.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"14 FINDLATER ST, DUBLIN 7, DUBLIN",Dublin 7,Dublin,362000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"147 THE VILLAGE CLARION RD, BALLYTIVNAN, SLIGO",,Sligo,76000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"15 LATCHFORD COURT, CLONEE, DUBLIN 15",Dublin 15,Dublin,295000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"15 WAYSIDE PARK, CLONAKILTY, CORK",,Cork,285000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"153 STEPASIDE PARK, STEPASIDE, DUBLIN 18",Dublin 18,Dublin,832500.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"16 LABURNAM DR, TERMON ABBEY, DROGHEDA",,Louth,227000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"162 Drakes Point, Crosshaven",,Cork,226872.0,No,Yes,New Dwelling house /Apartment,
2022-01-17,"165 SHANLISS AVE, SANTRY DUBLIN 9, DUBLIN",Dublin 9,Dublin,120000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"165 ST MARYS PARK, HACKETSTOWN RD, CARLOW",,Carlow,145000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"17 ARD ADHNAMHNAIN, SALLAGHAGRANE, DONEGAL",,Donegal,160000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"17 BANCROFT AVE, DUBLIN 24, DUBLIN",Dublin 24,Dublin,425000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"17 CARRIG GREEN, CARRIG NA CURRA, CARRIGALINE",,Cork,330000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"17 PATRICK ST, FERMOY, CO CORK",,Cork,167500.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"18 Butler Town, Ballinglanna, Glanmire",,Cork,265000.0,No,Yes,New Dwelling house /Apartment,
2022-01-17,"181 Dundoogan, Haynestown, Dundalk",,Louth,246652.0,No,Yes,New Dwelling house /Apartment,
2022-01-17,"19 COLLIS COURT, JUGBACK LANE, SWORDS",,Dublin,199000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"19 HAMILTON DR, NENAGH, TIPPERARY",,Tipperary,155000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"2 BURKES LANE, LIFFORD, ENNIS",,Clare,80000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"2 MARLEY COURT, DROGHEDA, LOUTH",,Louth,85000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"20 ABBOTS CLOSE, SEAPARK, ABBEYSIDE",,Waterford,280000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"20 BELFRY WAY, THE CLOISTERS, ARDMORE",,Waterford,220000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"20 Cluain Beag, Wexford",,Wexford,193832.6,Yes,Yes,New Dwelling house /Apartment,
2022-01-17,"21 Cluain Beag, Wexford",,Wexford,162995.6,Yes,Yes,New Dwelling house /Apartment,
2022-01-17,"22 Cluain Beag, Wexford",,Wexford,162995.6,Yes,Yes,New Dwelling house /Apartment,
2022-01-17,"22 DOUGLAS WEST, DOUGLAS, CORK",,Cork,180000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"23 AN CUANIN, ABBEYLANDS, FERRYBANK",,Kilkenny,165000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"23 Cluain Beag, Wexford",,Wexford,193832.6,Yes,Yes,New Dwelling house /Apartment,
2022-01-17,"23 Fairway Court, The Links, Ballybunion",,Kerry,188739.0,No,Yes,New Dwelling house /Apartment,
2022-01-17,"23 GANDON CLOSE, FAIRGREEN VILLAGE, PORTLAOISE",,Laois,165000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"23 RATH FEILIM, TULLOW, CARLOW",,Carlow,251000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"24 Cluain Beag, Wexford",,Wexford,193832.6,Yes,Yes,New Dwelling house /Apartment,
2022-01-17,"24 TERENURE RD WEST, TERENURE, DUBLIN 6W",,Dublin,528750.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"24 TERENURE RD WEST, TERENURE, DUBLIN 6W",,Dublin,58750.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"25 BENBULBIN RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,330000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"25 Cluain Beag, Wexford",,Wexford,186211.45,Yes,Yes,New Dwelling house /Apartment,
2022-01-17,"251, CHARLESLAND WOOD, GREYSTONES",,Wicklow,422000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"26 Cluain Beag, Wexford",,Wexford,186211.45,Yes,Yes,New Dwelling house /Apartment,
2022-01-17,"26 DUNDRUM GATE, BALLINTEER RD, DUNDRUM DUBLIN 14",Dublin 16,Dublin,340000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"265 HOWTH RD, KILLESTER, DUBLIN 5",Dublin 5,Dublin,810000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-17,"27 Cluain Beag, Wexford",,Wexford,193832.6,Yes,Yes,New Dwelling house /Apartment,
