DateofSale(dd/mm/yyyy),Address,PostalCode,County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription,percent,VAT,Year,Month,Agent Commission
2022-01-15,"24 FOREST WALK, SWORDS,,Dublin",N/A,Dublin,154000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,20790.0,2022,1,2310.0
2022-01-15,"5 CRAGAUN, FATHER RUSSELL ROAD, DOORADOYLE",N/A,Limerick,370000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,49950.0,2022,1,5550.0
2022-01-16,"19  The Lawn, Mullen Park, Maynooth",N/A,Kildare,409691.63,No,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,6145.37445
2022-01-16,"MONTEVIDEO, HOSPITAL HILL, BUNCLODY",N/A,Wexford,100000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,13500.0,2022,1,1500.0
2022-01-17,"1 CILL BEG MANOR, STRADBALLY, LAOIS",N/A,Laois,225000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,30375.000000000004,2022,1,3375.0
2022-01-17,"1 KINGSLEA, GRANGE RD, DOUGLAS",N/A,Cork,475000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,64125.00000000001,2022,1,7125.0
2022-01-17,"1 LOCK MILLS, GROVE ISLAND, LIMERICK",N/A,Limerick,130000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,17550.0,2022,1,1950.0
2022-01-17,"1 STOCKTON DR, CASTLEKNOCK,,Dublin 15",Dublin 15,Dublin,305000.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,41175.0,2022,1,4575.0
2022-01-17,"1 TEFFIA PARK, LONGFORD, CO LONGFORD",N/A,Longford,216000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,29160.000000000004,2022,1,3240.0
2022-01-17,"10 Effernock Grove, Trim",N/A,Meath,325992.0,No,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,4889.88
2022-01-17,"100 CLONLIFFE ROAD, DRUMCONDRA,,Dublin 3",Dublin 3,Dublin,395000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,53325.0,2022,1,5925.0
2022-01-17,"107 ST PETERS PLACE, ARKLOW, CO WICKLOW",N/A,Wicklow,170000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,22950.0,2022,1,2550.0
2022-01-17,"10A GLAS NA HABHAINN, CARRICK ON SHANNON, COUNTY LEITRIM",N/A,Leitrim,350000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,47250.0,2022,1,5250.0
2022-01-17,"11 BEECHWOOD CLOSE, LOUGHREA, GALWAY",N/A,Galway,295000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,39825.0,2022,1,4425.0
2022-01-17,"11 BLESSINGTON ORCHARD, BLESSINGTON, WICKLOW",N/A,Wicklow,275000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,37125.0,2022,1,4125.0
2022-01-17,"11,Dublin ST, BLACKPOOL, CORK",N/A,Cork,250000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,33750.0,2022,1,3750.0
2022-01-17,"11 LIAM HEALY RD, FARRANREE, CORK",N/A,Cork,185000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,24975.0,2022,1,2775.0
2022-01-17,"11 ROSSMORE CLOSE, TEMPLEOGUE,,Dublin 6w",Dublin 6w,Dublin,564797.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,76247.595,2022,1,7059.962500000001
2022-01-17,"11 THE FORGE, LOWER MAIN ST, RUSH",N/A,Dublin,245000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,33075.0,2022,1,3675.0
2022-01-17,"110 CLONMINCH WOOD TUALLAMORE, OFFALY",N/A,Offaly,302000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,40770.0,2022,1,4530.0
2022-01-17,"113 THE ELMS, CHARLEVILLE, RATHFARNHAM",Dublin 14,Dublin,376000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,50760.0,2022,1,5640.0
2022-01-17,"117 ROBERTSHILL CIRCULAR RD, KILKENNY",N/A,Kilkenny,210000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,28350.000000000004,2022,1,3150.0
2022-01-17,"118 BALLYMACOOL WOOD, LETTERKENNY, DONEGAL",N/A,Donegal,150000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,20250.0,2022,1,2250.0
2022-01-17,"124 GIMONT AVE, ENNISCORTHY, CO WEXFORD",N/A,Wexford,150000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,20250.0,2022,1,2250.0
2022-01-17,"127 MORRISTOWN EST, NEWBRIDGE, KILDARE",N/A,Kildare,200000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,27000.0,2022,1,3000.0
2022-01-17,"13 BAYVIEW, IRISH TOWN,,Dublin 4",Dublin 4,Dublin,640000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,86400.0,2022,1,8000.0
2022-01-17,"13 COOLCOTTS COURT, WEXFORD",N/A,Wexford,286000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,38610.0,2022,1,4290.0
2022-01-17,"13 MEADOWLANDS, ENNISCORTHY, WEXFORD",N/A,Wexford,161250.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,21768.75,2022,1,2418.75
2022-01-17,"14 FINDLATER ST,,Dublin 7,,Dublin",Dublin 7,Dublin,362000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,48870.0,2022,1,5430.0
2022-01-17,"147 THE VILLAGE CLARION RD, BALLYTIVNAN, SLIGO",N/A,Sligo,76000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,10260.0,2022,1,1140.0
2022-01-17,"15 LATCHFORD COURT, CLONEE,,Dublin 15",Dublin 15,Dublin,295000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,39825.0,2022,1,4425.0
2022-01-17,"15 WAYSIDE PARK, CLONAKILTY, CORK",N/A,Cork,285000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,38475.0,2022,1,4275.0
2022-01-17,"16 LABURNAM DR, TERMON ABBEY, DROGHEDA",N/A,Louth,227000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,30645.000000000004,2022,1,3405.0
2022-01-17,"162 Drakes Point, Crosshaven",N/A,Cork,226872.0,No,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,3403.08
2022-01-17,"165 SHANLISS AVE, SANTRY,Dublin 9,,Dublin",Dublin 9,Dublin,120000.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,16200.000000000002,2022,1,1800.0
2022-01-17,"165 ST MARYS PARK, HACKETSTOWN RD, CARLOW",N/A,Carlow,145000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,19575.0,2022,1,2175.0
2022-01-17,"17 ARD ADHNAMHNAIN, SALLAGHAGRANE, DONEGAL",N/A,Donegal,160000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,21600.0,2022,1,2400.0
2022-01-17,"17 BANCROFT AVE,,Dublin 24,,Dublin",Dublin 24,Dublin,425000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,57375.00000000001,2022,1,6375.0
2022-01-17,"17 CARRIG GREEN, CARRIG NA CURRA, CARRIGALINE",N/A,Cork,330000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,44550.0,2022,1,4950.0
2022-01-17,"17 PATRICK ST, FERMOY, CO CORK",N/A,Cork,167500.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,22612.5,2022,1,2512.5
2022-01-17,"18 Butler Town, Ballinglanna, Glanmire",N/A,Cork,265000.0,No,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,3975.0
2022-01-17,"181 Dundoogan, Haynestown, Dundalk",N/A,Louth,246652.0,No,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,3699.7799999999997
2022-01-17,"19 COLLIS COURT, JUGBACK LANE, SWORDS",N/A,Dublin,199000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,26865.0,2022,1,2985.0
2022-01-17,"19 HAMILTON DR, NENAGH, TIPPERARY",N/A,Tipperary,155000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,20925.0,2022,1,2325.0
2022-01-17,"2 BURKES LANE, LIFFORD, ENNIS",N/A,Clare,80000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,10800.0,2022,1,1200.0
2022-01-17,"2 MARLEY COURT, DROGHEDA, LOUTH",N/A,Louth,85000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,11475.0,2022,1,1275.0
2022-01-17,"20 ABBOTS CLOSE, SEAPARK, ABBEYSIDE",N/A,Waterford,280000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,37800.0,2022,1,4200.0
2022-01-17,"20 BELFRY WAY, THE CLOISTERS, ARDMORE",N/A,Waterford,220000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,29700.000000000004,2022,1,3300.0
2022-01-17,"20 Cluain Beag, Wexford",N/A,Wexford,193832.6,Yes,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,2907.489
2022-01-17,"21 Cluain Beag, Wexford",N/A,Wexford,162995.6,Yes,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,2444.934
2022-01-17,"22 Cluain Beag, Wexford",N/A,Wexford,162995.6,Yes,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,2444.934
2022-01-17,"22 DOUGLAS WEST, DOUGLAS, CORK",N/A,Cork,180000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,24300.0,2022,1,2700.0
2022-01-17,"23 AN CUANIN, ABBEYLANDS, FERRYBANK",N/A,Kilkenny,165000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,22275.0,2022,1,2475.0
2022-01-17,"23 Cluain Beag, Wexford",N/A,Wexford,193832.6,Yes,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,2907.489
2022-01-17,"23 Fairway Court, The Links, Ballybunion",N/A,Kerry,188739.0,No,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,2831.085
2022-01-17,"23 GANDON CLOSE, FAIRGREEN VILLAGE, PORTLAOISE",N/A,Laois,165000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,22275.0,2022,1,2475.0
2022-01-17,"23 RATH FEILIM, TULLOW, CARLOW",N/A,Carlow,251000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,33885.0,2022,1,3765.0
2022-01-17,"24 Cluain Beag, Wexford",N/A,Wexford,193832.6,Yes,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,2907.489
2022-01-17,"24 TERENURE RD WEST, TERENURE,,Dublin 6w",Dublin 6w,Dublin,528750.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,71381.25,2022,1,6609.375
2022-01-17,"24 TERENURE RD WEST, TERENURE,,Dublin 6w",Dublin 6w,Dublin,58750.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,7931.250000000001,2022,1,881.25
2022-01-17,"25 BENBULBIN RD, DRIMNAGH,,Dublin 12",Dublin 12,Dublin,330000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,44550.0,2022,1,4950.0
2022-01-17,"25 Cluain Beag, Wexford",N/A,Wexford,186211.45,Yes,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,2793.17175
2022-01-17,"251, CHARLESLAND WOOD, GREYSTONES",N/A,Wicklow,422000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,56970.00000000001,2022,1,6330.0
2022-01-17,"26 Cluain Beag, Wexford",N/A,Wexford,186211.45,Yes,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,2793.17175
2022-01-17,"26 DUNDRUM GATE, BALLINTEER RD, DUNDRUM,Dublin 14",Dublin 14,Dublin,340000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,45900.0,2022,1,5100.0
2022-01-17,"27 Cluain Beag, Wexford",N/A,Wexford,193832.6,Yes,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,2907.489
2022-01-17,"27 THE AVENUE, ROYAL OAKS, ENFIELD",N/A,Meath,308370.0,No,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,4625.55
2022-01-17,"277 LANDEN RD, BALLYFERMOT,,Dublin 10",Dublin 10,Dublin,270000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,36450.0,2022,1,4050.0
2022-01-17,"28 CHERRYMOUNT, DONORE ROAD, DROGHEDA",N/A,Louth,250000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,33750.0,2022,1,3750.0
2022-01-17,"28 ESKER MANOR, LUCAN,,Dublin",N/A,Dublin,317000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,42795.0,2022,1,4755.0
2022-01-17,"28 HAZELWOOD, GOREY, WEXFORD",N/A,Wexford,307500.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,41512.5,2022,1,4612.5
2022-01-17,"28 LEEDALE, CAHERSLEE, TRALEE",N/A,Kerry,320000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,43200.0,2022,1,4800.0
2022-01-17,"29 PARK CRESCENT HOUSE, BLACKHORSE AVE,,Dublin 7",Dublin 7,Dublin,307000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,41445.0,2022,1,4605.0
2022-01-17,"3 Crosskeys, Academy Street, Kildare",N/A,Kildare,287400.0,No,Yes,New Dwelling house /Apartment,,0.10537407797681769,0.0,2022,1,4311.0
2022-01-17,"3 HANOVER CRESCENT, BURRIN RD, CARLOW",N/A,Carlow,193000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,26055.0,2022,1,2895.0
2022-01-17,"3 HARBOUR HOUSE, DUNMORE EAST, CO WATERFORD",N/A,Waterford,300000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,40500.0,2022,1,4500.0
2022-01-17,"3 KILLYGARVAN COTTAGES, RATHMULLAN, COUNTY DONEGAL",N/A,Donegal,225000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,30375.000000000004,2022,1,3375.0
2022-01-17,"3 LEAFY HAVEN, WHEATON HALL, DROGHEDA",N/A,Louth,370000.0,No,No,Second-Hand Dwelling house /Apartment,,0.017295053614666205,49950.0,2022,1,5550.0
