DateofSale(dd/mm/yyyy),Address,PostalCode,County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription,percent,VAT,Year,Month,Agent Commission
2013-09-20,"I Cabbage Lane, Bohermore",N/A,Galway,235000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,31725.000000000004,2013,9,3525.0
2014-06-25,"CLONEEN, CRETTYARD, VIA CARLOW",N/A,Kilkenny,63000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,8505.0,2014,6,945.0
2017-02-10,"22 COILLIN BUI, MOATE, WESTMEATH",N/A,Westmeath,95250.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,12858.75,2017,2,1428.75
2018-07-06,"No. 1 Larch Close, Bloomfield, Annacotty",N/A,Limerick,233480.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2018,7,3502.2
2015-10-16,"2 THE CLOSE, DUN EALA, FERMOY",N/A,Cork,110000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,14850.000000000002,2015,10,1650.0
2013-07-17,"47  Saint Lappans Place, Little Island",N/A,Cork,30000.0,Yes,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,4050.0000000000005,2013,7,450.0
2020-06-25,"APT 3 CLONARD COURT, PODDEL PARK, KIMMAGE,Dublin 12",Dublin 12,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,32400.000000000004,2020,6,3600.0
2016-05-24,"10 THE MOORINGS, KELLYS BAY, SKERRIES",Dublin 20,Dublin,185000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,24975.0,2016,5,2775.0
2018-11-27,"23 STEPHEN ST, KILKENNY",N/A,Kilkenny,182500.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,24637.5,2018,11,2737.5
2018-12-10,"5 The Green, Castle Farm, Naas",N/A,Kildare,290748.9,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,0.06341154090044387,0.0,2018,12,4361.2335
2015-08-17,"PORRES, LINARO AVE, MAGAZINE RD",N/A,Cork,270000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,36450.0,2015,8,4050.0
2010-06-18,"Gortacrissane, Listowel",N/A,Kerry,245000.0,No,No,Second-Hand Dwelling house /Apartment,,0.012695188523549577,33075.0,2010,6,3675.0
